Words Between Parentheses
agent and activity
agent and activity
Chelmsford BU
"other BU, external customer"
"works requisitions, RFQ and data pack"
"materials, accounts, quality, operations, programmes, personnel, purchasing"
"Other BU, External customer"
RFQ and data pack
programmes/bid dept
new PO/SOW/ITP
PO/SOW Amendment
programmes/bid dept
MRP ECO
MMR
programmes/bid dept
new PO/SOW/ITP
PO/SOW Amendment
programmes/bid dept
MRP ECO
MMR
MRP ECO
MMR
chelmsford BU
works requisitions
spares cell
repairs cell
"MRP ECO, MMR"
"MRP ECO, MMR"
programmes/bid dept
MRP ECO
MMR
MRP ECO
spares cell
repairs cell
"MRP ECO, MMR"
programmes/bid dept
spares cell
repairs cell
programmes/bid dept
spares cell
repairs cell
programmes/bid dept
"materials, accounts, quality, operations, programmes, personnel, purchasing"
"profit targets, strategic goals and working practices, turnover targets, constant change for improvement, order intake targets"
"profit targets, strategic goals and working practices, turnover targets, constant change for improvement, order intake targets"
"materials, accounts, quality, operations, programmes, personnel, purchasing"
UBR pack
Other BU
External customer
chelmsford BU
RFQ and data pack
works requisitions
programmes/bid dept
spares cell
repairs cell
